SID,SEASON,NUMBER,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES,WMO_AGENCY,TRACK_TYPE,DIST2LAND,LANDFALL,IFLAG,USA_AGENCY,USA_ATCF_ID,USA_LAT,USA_LON,USA_WIND,USA_PRES,USA_SSHS,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_POCI,USA_ROCI,USA_RMW,TOKYO_LAT,TOKYO_LON,TOKYO_GRADE,TOKYO_WIND,TOKYO_PRES,TOKYO_R50_DIR,TOKYO_R50_LONG,TOKYO_R50_SHORT,TOKYO_R30_DIR,TOKYO_R30_LONG,TOKYO_R30_SHORT,TOKYO_LAND,CMA_LAT,CMA_LON,CMA_CAT,CMA_WIND,CMA_PRES,STORM_SPEED,STORM_DIR
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/16 6:00,TS,14,130.8, ,1002,tokyo,US-PROVISIONAL,608,546,_OO____________, , , , , , ,-5, , , , , , , ,14.1,130.7,2, ,1002,0, , ,0, , ,0,13.9,130.8,1,25,1002,13,285
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/16 9:00,TS,14.2,130.1, , , ,US-PROVISIONAL,546,492,_PP____________, , , , , , ,-5, , , , , , , ,14.3,130,2, ,1002,0, , ,0, , , ,14,130.2,1,25,1002,13,285
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/16 12:00,TS,14.3,129.5, ,1002,tokyo,US-PROVISIONAL,492,451,_OO____________, , , , , , ,-5, , , , , , , ,14.5,129.4,2, ,1002,0, , ,0, , ,0,14.1,129.6,1,25,1002,11,280
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/16 15:00,TS,14.4,129, , , ,US-PROVISIONAL,451,416,_PP____________, , , , , , ,-5, , , , , , , ,14.6,128.9,2, ,1001,0, , ,0, , , ,14.2,129.1,1,27,1001,9,280
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/16 18:00,TS,14.5,128.6, ,1000,tokyo,US-PROVISIONAL,422,389,_OO____________, , , , , , ,-5, , , , , , , ,14.6,128.6,2, ,1000,0, , ,0, , ,0,14.3,128.5,1,29,1000,9,285
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/16 21:00,TS,14.6,128.1, , , ,US-PROVISIONAL,389,365,_PP____________, , , , , , ,-5, , , , , , , ,14.7,128.4,2, ,1000,0, , ,0, , , ,14.4,127.8,1,29,1000,9,290
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/17 0:00,TS,14.8,127.7, ,1000,tokyo,US-PROVISIONAL,369,342,_OO____________, , , , , , ,-5, , , , , , , ,14.9,128.2,2, ,1000,0, , ,0, , ,0,14.6,127.2,1,29,1000,9,300
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/17 3:00,TS,15,127.3, , , ,US-PROVISIONAL,335,315,_PP____________, , , , , , ,-5, , , , , , , ,15.1,127.8,2, ,999,0, , ,0, , , ,14.8,126.9,1,29,1000,9,305
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/17 6:00,TS,15.3,127, ,998,tokyo,US-PROVISIONAL,320,302,_OO____________, , , , , , ,-5, , , , , , , ,15.4,127.3,2, ,998,0, , ,0, , ,0,15.2,126.6,1,29,1000,11,310
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/17 9:00,TS,15.7,126.5, , , ,US-PROVISIONAL,302,294,_PP____________, , , , , , ,-5, , , , , , , ,15.7,126.8,2, ,998,0, , ,0, , , ,15.7,126.2,1,29,1000,13,315
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/17 12:00,TS,16.2,126, ,998,tokyo,US-PROVISIONAL,306,300,_OO____________, , , , , , ,-5, , , , , , , ,16.1,126.2,2, ,998,0, , ,0, , ,0,16.3,125.7,1,29,1000,13,310
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/17 15:00,TS,16.6,125.5, , , ,US-PROVISIONAL,318,266,_PP____________, , , , , , ,-5, , , , , , , ,16.4,125.6,2, ,997,0, , ,0, , , ,16.8,125.3,1,32,999,12,310
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/17 18:00,TS,17,125, ,996,tokyo,US-PROVISIONAL,265,224,_OO____________, , , , , , ,-5, , , , , , , ,16.7,125.1,2, ,996,0, , ,0, , ,0,17.2,124.9,2,34,998,10,310
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/17 21:00,TS,17.3,124.6, , , ,US-PROVISIONAL,225,199,_PP____________, , , , , , ,-5, , , , , , , ,17,124.6,2, ,995,0, , ,0, , , ,17.5,124.7,2,34,998,10,310
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/18 0:00,TS,17.6,124.3,35,994,tokyo,US-PROVISIONAL,202,162,_OO____________, , , , , , ,-5, , , , , , , ,17.4,124.1,3,35,994,0, , ,1,300,150,0,17.8,124.4,2,34,998,12,315
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/18 3:00,TS,18.1,123.8, , , ,US-PROVISIONAL,160,106,_PP____________, , , , , , ,-5, , , , , , , ,18,123.5,3,35,992,0, , ,1,300,150, ,18.1,124,2,36,997,13,315
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/18 6:00,TS,18.6,123.3,35,990,tokyo,US-PROVISIONAL,107,84,_OO____________, , , , , , ,-5, , , , , , , ,18.6,123,3,35,990,0, , ,1,300,150,0,18.5,123.5,2,38,995,13,315
2025197N14131,2025,45,WP,MM,WIPHA,2025/7/18 9:00,TS,19,122.8, , , ,US-PROVISIONAL,85,85,_PP____________, , , , , , ,-5, , , , , , , ,19.2,122.7,3,35,990,0, , ,1,325,165, ,18.9,123,2,38,995,12,315
