lead_hour,valid_time,radius_bin,model,n_grid,era5_mean_wind_speed,model_mean_wind_speed,speed_bias,speed_mae,speed_rmse,speed_median_error,speed_max_abs_error,dir_bias_deg,dir_mae_deg,dir_rmse_deg,dir_median_abs_error_deg,dir_max_abs_error_deg,better_speed_rmse,better_dir_mae
0,2025-07-17 00:00 UTC,0-600 km,GDAS_Realtime,1467,9.407025,10.173602,0.766577,1.322323,1.984796,0.617669,13.684828,1.902653,10.822907,20.314483,5.995509,175.283875,,
0,2025-07-17 00:00 UTC,0-600 km,ERA5_Lagged,1467,9.407025,9.591673,0.184648,0.961876,1.242248,0.234432,5.447294,-2.420521,11.385025,15.427873,8.734337,82.193299,,
3,2025-07-17 03:00 UTC,0-600 km,GDAS_Realtime,1466,9.669968,10.109430,0.439462,1.208674,1.668359,0.256912,8.286821,-0.118284,10.353659,20.334553,5.878620,177.806333,,
3,2025-07-17 03:00 UTC,0-600 km,ERA5_Lagged,1466,9.669968,9.902460,0.232492,1.147730,1.471377,0.320050,6.440122,-3.728358,12.039532,18.605809,9.476869,178.838681,,
6,2025-07-17 06:00 UTC,0-600 km,GDAS_Realtime,1456,9.760880,9.920331,0.159452,1.181143,1.598740,-0.082019,8.260313,-1.723072,9.961991,20.645398,5.076156,176.842110,,
6,2025-07-17 06:00 UTC,0-600 km,ERA5_Lagged,1456,9.760880,10.225102,0.464222,1.178025,1.531206,0.547081,6.330766,-4.172179,13.688685,23.200261,9.585563,177.117926,,
9,2025-07-17 09:00 UTC,0-600 km,GDAS_Realtime,1417,9.846697,9.937287,0.090590,1.313245,1.744264,-0.104114,8.395941,-1.560767,9.637071,14.878400,6.725757,147.614364,,
9,2025-07-17 09:00 UTC,0-600 km,ERA5_Lagged,1417,9.846697,10.348623,0.501926,1.222790,1.680765,0.524551,6.938893,-2.873077,12.793406,18.919928,9.442676,124.908870,,
12,2025-07-17 12:00 UTC,0-600 km,GDAS_Realtime,1383,9.427303,10.273831,0.846526,1.673549,2.335822,0.544948,11.122062,1.626272,17.587784,27.008530,12.566743,168.581715,,
12,2025-07-17 12:00 UTC,0-600 km,ERA5_Lagged,1383,9.427303,10.851372,1.424067,1.838871,2.379133,1.314146,10.093814,2.165354,21.982683,33.754596,14.641371,174.969863,,
15,2025-07-17 15:00 UTC,0-600 km,GDAS_Realtime,1369,10.060928,10.292315,0.231386,1.595179,2.199539,-0.108236,8.536554,1.544093,16.955190,26.626277,11.499891,177.808425,,
15,2025-07-17 15:00 UTC,0-600 km,ERA5_Lagged,1369,10.060928,11.115580,1.054652,1.617038,2.303651,0.879931,9.282256,2.797334,23.515686,34.563702,15.887771,176.695517,,
18,2025-07-17 18:00 UTC,0-600 km,GDAS_Realtime,1382,10.517282,10.271348,-0.245934,1.616116,2.182624,-0.674836,10.367810,2.876991,16.465926,25.759492,10.614123,175.972157,,
18,2025-07-17 18:00 UTC,0-600 km,ERA5_Lagged,1382,10.517282,11.294683,0.777400,1.880778,2.583195,1.039358,12.386887,3.712966,21.624802,31.766945,14.065592,178.827674,,
21,2025-07-17 21:00 UTC,0-600 km,GDAS_Realtime,1379,10.853046,10.182785,-0.670261,1.547354,2.133894,-0.823354,14.627441,2.411506,16.923640,23.246084,12.024701,173.877319,,
21,2025-07-17 21:00 UTC,0-600 km,ERA5_Lagged,1379,10.853046,11.332553,0.479507,1.801956,2.561352,0.781769,16.479258,3.992090,22.797121,31.164004,14.800071,166.491318,,
24,2025-07-18 00:00 UTC,0-600 km,GDAS_Realtime,1387,10.751486,11.126542,0.375056,1.357945,1.826055,0.430144,8.710192,-0.449965,14.093857,20.910261,10.472957,179.386246,,
24,2025-07-18 00:00 UTC,0-600 km,ERA5_Lagged,1387,10.751486,11.620341,0.868855,1.846953,2.730971,0.539188,11.942912,0.339775,23.245331,34.869233,16.680860,179.400054,,
27,2025-07-18 03:00 UTC,0-600 km,GDAS_Realtime,1396,11.363098,10.953798,-0.409300,1.449354,1.883713,-0.408888,7.936203,2.744978,14.174272,20.729271,9.610827,151.110799,,
27,2025-07-18 03:00 UTC,0-600 km,ERA5_Lagged,1396,11.363098,11.820483,0.457385,1.958065,2.748045,0.062947,12.089655,-0.124203,26.170059,38.050603,18.103756,178.332528,,
30,2025-07-18 06:00 UTC,0-600 km,GDAS_Realtime,1390,11.435605,10.832246,-0.603359,1.562546,2.033976,-0.617996,12.880878,5.202228,14.860093,23.589441,8.399707,171.030576,,
30,2025-07-18 06:00 UTC,0-600 km,ERA5_Lagged,1390,11.435605,12.018937,0.583331,2.052680,2.719687,0.216994,13.332612,0.224683,28.294053,37.557861,20.105462,174.871055,,
33,2025-07-18 09:00 UTC,0-600 km,GDAS_Realtime,1389,11.262712,10.510459,-0.752255,1.528076,2.046617,-0.637678,10.750819,7.087686,17.244982,26.151360,8.355392,176.527115,,
33,2025-07-18 09:00 UTC,0-600 km,ERA5_Lagged,1389,11.262712,11.974343,0.711629,2.481577,3.158144,0.501825,13.873496,4.901050,32.309458,41.184288,25.983916,176.956611,,
36,2025-07-18 12:00 UTC,0-600 km,GDAS_Realtime,1398,11.082176,10.793267,-0.288909,1.350442,1.765036,-0.145059,7.753520,9.693231,18.140253,27.409298,9.432396,162.138339,,
36,2025-07-18 12:00 UTC,0-600 km,ERA5_Lagged,1398,11.082176,11.652209,0.570032,2.459838,3.235224,0.060606,12.850890,12.662226,35.307829,47.228069,27.214572,174.020866,,
39,2025-07-18 15:00 UTC,0-600 km,GDAS_Realtime,1399,11.501677,10.513482,-0.988195,1.631589,2.102166,-0.962582,9.765788,11.283345,21.301106,31.272728,13.268171,179.268118,,
39,2025-07-18 15:00 UTC,0-600 km,ERA5_Lagged,1399,11.501677,11.631134,0.129457,2.587557,3.225617,-0.338342,14.339418,17.777927,42.946079,57.262813,31.823723,179.298438,,
42,2025-07-18 18:00 UTC,0-600 km,GDAS_Realtime,1389,11.295500,10.394144,-0.901356,1.507951,2.109481,-0.890245,10.741429,8.644012,20.962461,31.164838,13.883124,174.998233,,
42,2025-07-18 18:00 UTC,0-600 km,ERA5_Lagged,1389,11.295500,11.544200,0.248699,2.365636,3.006323,-0.051575,13.576639,18.415330,46.686746,61.824518,33.847547,178.956485,,
45,2025-07-18 21:00 UTC,0-600 km,GDAS_Realtime,1367,11.473046,10.727525,-0.745521,1.395179,2.087970,-0.657831,12.779530,8.865485,24.491104,35.461917,18.868903,171.568065,,
45,2025-07-18 21:00 UTC,0-600 km,ERA5_Lagged,1367,11.473046,11.805418,0.332372,2.216128,2.894054,-0.191066,15.442356,15.750592,49.492463,65.755463,36.582488,179.485211,,
48,2025-07-19 00:00 UTC,0-600 km,GDAS_Realtime,1346,11.256926,10.633511,-0.623415,1.678231,2.300334,-0.464247,14.256716,6.956136,20.857223,30.217499,14.526687,176.047925,,
48,2025-07-19 00:00 UTC,0-600 km,ERA5_Lagged,1346,11.256926,11.605093,0.348166,2.515512,3.095665,0.218129,11.266066,9.520778,45.865272,61.054267,28.496679,178.258132,,
51,2025-07-19 03:00 UTC,0-600 km,GDAS_Realtime,1312,11.691689,10.804933,-0.886756,1.699024,2.423802,-0.568701,15.943513,9.304377,25.724912,35.952486,16.072012,175.547079,,
51,2025-07-19 03:00 UTC,0-600 km,ERA5_Lagged,1312,11.691689,12.181735,0.490046,2.639859,3.266626,0.476924,13.503624,12.012306,49.007319,64.518722,32.813258,179.708316,,
54,2025-07-19 06:00 UTC,0-600 km,GDAS_Realtime,1283,11.641585,10.635353,-1.006233,2.188834,2.935282,-0.941958,14.805392,7.851547,29.355165,41.476975,18.941366,178.245396,,
54,2025-07-19 06:00 UTC,0-600 km,ERA5_Lagged,1283,11.641585,12.367765,0.726178,2.991614,3.617565,1.107826,13.854588,8.796041,51.147511,66.290075,34.466009,179.955014,,
57,2025-07-19 09:00 UTC,0-600 km,GDAS_Realtime,1232,11.371635,10.480074,-0.891561,2.795364,3.627221,-0.705990,15.950373,7.971179,34.793646,50.662950,22.563611,179.980520,,
57,2025-07-19 09:00 UTC,0-600 km,ERA5_Lagged,1232,11.371635,12.718959,1.347324,3.462629,4.251439,1.561024,13.764098,5.236857,56.445293,71.787490,43.303181,179.671786,,
