lead_hour,valid_time,radius_bin,model,n_grid,era5_mean_wind_speed,model_mean_wind_speed,speed_bias,speed_mae,speed_rmse,speed_median_error,speed_max_abs_error,dir_bias_deg,dir_mae_deg,dir_rmse_deg,dir_median_abs_error_deg,dir_max_abs_error_deg,better_speed_rmse,better_dir_mae
24,2025-07-18 00:00 UTC,0-150 km,GDAS_Realtime,95,8.782163,9.906353,1.124189,3.609898,4.080799,1.843963,8.710192,-8.320473,47.266762,58.192694,40.623161,179.386246,GDAS_Realtime,GDAS_Realtime
24,2025-07-18 00:00 UTC,0-150 km,ERA5_Lagged,95,8.782163,12.294289,3.512125,5.050031,5.997565,4.187890,11.942912,-4.560900,76.693393,91.725363,47.594039,179.400054,GDAS_Realtime,GDAS_Realtime
24,2025-07-18 00:00 UTC,150-300 km,GDAS_Realtime,268,12.245090,12.254648,0.009557,1.914301,2.366633,-0.094425,5.345806,-1.806045,19.281825,22.766050,17.130420,59.883326,GDAS_Realtime,GDAS_Realtime
24,2025-07-18 00:00 UTC,150-300 km,ERA5_Lagged,268,12.245090,11.912919,-0.332172,2.294185,3.126042,-0.143592,11.782555,-0.016450,34.442472,43.096580,28.152197,122.626065,GDAS_Realtime,GDAS_Realtime
24,2025-07-18 00:00 UTC,300-600 km,GDAS_Realtime,1024,10.543283,10.944497,0.401214,1.003414,1.227069,0.460954,3.530167,0.635120,9.658504,11.934103,8.726743,53.575919,GDAS_Realtime,GDAS_Realtime
24,2025-07-18 00:00 UTC,300-600 km,ERA5_Lagged,1024,10.543283,11.481243,0.937961,1.432744,2.051193,0.543097,6.677375,0.887658,15.356269,19.499488,11.888953,81.856469,GDAS_Realtime,GDAS_Realtime
24,2025-07-18 00:00 UTC,0-600 km,GDAS_Realtime,1387,10.751486,11.126542,0.375056,1.357945,1.826055,0.430144,8.710192,-0.449965,14.093857,20.910261,10.472957,179.386246,GDAS_Realtime,GDAS_Realtime
24,2025-07-18 00:00 UTC,0-600 km,ERA5_Lagged,1387,10.751486,11.620341,0.868855,1.846953,2.730971,0.539188,11.942912,0.339775,23.245331,34.869233,16.680860,179.400054,GDAS_Realtime,GDAS_Realtime
48,2025-07-19 00:00 UTC,0-150 km,GDAS_Realtime,95,14.468503,13.168442,-1.300061,3.335420,4.446678,-1.129153,14.256716,-29.988637,56.802261,71.785189,49.952735,176.047925,ERA5_Lagged,GDAS_Realtime
48,2025-07-19 00:00 UTC,0-150 km,ERA5_Lagged,95,14.468503,14.329695,-0.138808,2.827986,3.588433,-1.129157,11.266066,-45.803019,71.769340,83.958523,69.653761,171.263436,ERA5_Lagged,GDAS_Realtime
48,2025-07-19 00:00 UTC,150-300 km,GDAS_Realtime,272,13.655016,11.635044,-2.019972,2.436137,3.009504,-2.351405,12.819211,12.309904,25.311378,31.522784,22.769193,103.155901,ERA5_Lagged,GDAS_Realtime
48,2025-07-19 00:00 UTC,150-300 km,ERA5_Lagged,272,13.655016,12.881961,-0.773054,1.906421,2.292383,-0.700668,5.863585,-0.006917,63.397836,79.725981,51.936897,178.258132,ERA5_Lagged,GDAS_Realtime
48,2025-07-19 00:00 UTC,300-600 km,GDAS_Realtime,979,10.279011,10.109267,-0.169744,1.306848,1.685255,-0.195723,6.203130,9.053713,16.131678,21.892124,12.172201,161.050784,GDAS_Realtime,GDAS_Realtime
48,2025-07-19 00:00 UTC,300-600 km,ERA5_Lagged,979,10.279011,10.985945,0.706935,2.654417,3.235124,0.657888,9.423355,17.536400,38.480446,51.720432,23.731091,171.730375,GDAS_Realtime,GDAS_Realtime
48,2025-07-19 00:00 UTC,0-600 km,GDAS_Realtime,1346,11.256926,10.633511,-0.623415,1.678231,2.300334,-0.464247,14.256716,6.956136,20.857223,30.217499,14.526687,176.047925,GDAS_Realtime,GDAS_Realtime
48,2025-07-19 00:00 UTC,0-600 km,ERA5_Lagged,1346,11.256926,11.605093,0.348166,2.515512,3.095665,0.218129,11.266066,9.520778,45.865272,61.054267,28.496679,178.258132,GDAS_Realtime,GDAS_Realtime
72,2025-07-20 00:00 UTC,0-150 km,GDAS_Realtime,87,15.268633,15.435940,0.167305,3.180660,4.475120,-0.085207,14.957541,-1.489218,77.591308,88.502354,71.097198,177.969819,ERA5_Lagged,GDAS_Realtime
72,2025-07-20 00:00 UTC,0-150 km,ERA5_Lagged,87,15.268633,17.250202,1.981567,3.022452,4.343117,1.510493,15.630114,-8.285914,91.028247,101.914481,88.406883,176.218406,ERA5_Lagged,GDAS_Realtime
72,2025-07-20 00:00 UTC,150-300 km,GDAS_Realtime,196,12.070228,14.059023,1.988795,3.007527,3.452483,2.901522,11.538578,7.899104,39.309010,44.983164,33.230667,105.396530,GDAS_Realtime,GDAS_Realtime
72,2025-07-20 00:00 UTC,150-300 km,ERA5_Lagged,196,12.070228,14.891478,2.821250,4.410422,5.104408,3.669177,10.281359,1.598536,82.499636,91.643307,74.010910,178.618238,GDAS_Realtime,GDAS_Realtime
72,2025-07-20 00:00 UTC,300-600 km,GDAS_Realtime,676,10.943927,11.858875,0.914948,1.693749,2.119045,1.118532,6.219059,-2.411410,16.789652,22.403016,13.424619,171.366217,GDAS_Realtime,GDAS_Realtime
72,2025-07-20 00:00 UTC,300-600 km,ERA5_Lagged,676,10.943927,13.957547,3.013619,3.817391,4.408403,3.754936,8.936079,-2.469291,34.593531,40.328899,32.694695,177.198971,GDAS_Realtime,GDAS_Realtime
72,2025-07-20 00:00 UTC,0-600 km,GDAS_Realtime,959,11.566455,12.633050,1.066595,2.097151,2.723636,1.225074,14.957541,-0.220491,26.908045,38.443737,19.364109,177.969819,GDAS_Realtime,GDAS_Realtime
72,2025-07-20 00:00 UTC,0-600 km,ERA5_Lagged,959,11.566455,14.447131,2.880676,3.866478,4.553611,3.417366,15.630114,-2.165591,49.504289,61.686381,42.232074,178.618238,GDAS_Realtime,GDAS_Realtime
