data_group,pressure_level,variable,n,rmse,bias,mae,corr,pred_mean,truth_mean,diff_std,data_type,target_time,pred_start_time,lead_hour,model_forecast_hour,valid_time
surface,,msl,5670,40.66807721395242,-26.896296296296295,33.3398189484127,0.9930648587542606,100934.25831128747,100961.15460758377,30.503798940817752,gdas,2025-07-01-00-00,2025-07-01-00-00,1,1,2025-07-01-01-00
surface,,u10,5670,1.0581850519828422,0.058674650106782744,0.8011364189756794,0.9488921385555676,-2.412389863299853,-2.471064513406636,1.0565570924823595,gdas,2025-07-01-00-00,2025-07-01-00-00,1,1,2025-07-01-01-00
surface,,v10,5670,1.1798704916184606,0.12113167394668757,0.8765826844914144,0.9079604218234948,2.7017521022304867,2.5806204282837992,1.1736360145116804,gdas,2025-07-01-00-00,2025-07-01-00-00,1,1,2025-07-01-01-00
surface,,t2m,5670,1.0226041946366597,0.33834553874989665,0.8015656298010017,0.8779223085492338,301.1551680765034,300.8168225377535,0.9650086192861353,gdas,2025-07-01-00-00,2025-07-01-00-00,1,1,2025-07-01-01-00
surface,,wind10,5670,1.0159097842270288,0.0743980003977913,0.7676274214376164,0.8367095134471554,5.325441963555471,5.251043963157678,1.013181931947574,gdas,2025-07-01-00-00,2025-07-01-00-00,1,1,2025-07-01-01-00
surface,,msl,5670,45.35920617357972,-23.530370232583774,38.332496279761905,0.9873896082136547,100949.08519414131,100972.6155643739,38.77859282406788,gdas,2025-07-01-00-00,2025-07-01-00-00,3,3,2025-07-01-03-00
surface,,u10,5670,0.9696979348245974,0.16397184173262808,0.7436521207984386,0.9580987760165964,-2.260026912590426,-2.4239987543230543,0.9557339169046473,gdas,2025-07-01-00-00,2025-07-01-00-00,3,3,2025-07-01-03-00
surface,,v10,5670,1.1501399938391712,0.20279903968030707,0.8911151631753333,0.9147886549326393,2.7761968130058556,2.5733977733255484,1.1321194967551413,gdas,2025-07-01-00-00,2025-07-01-00-00,3,3,2025-07-01-03-00
surface,,t2m,5670,0.9790914044041784,0.2481161046911169,0.7464321102835304,0.8801855273874772,301.29551648067627,301.04740037598515,0.9471316575698718,gdas,2025-07-01-00-00,2025-07-01-00-00,3,3,2025-07-01-03-00
surface,,wind10,5670,0.9815691382795034,-0.012687006433734483,0.7495475128283987,0.8506431135615347,5.260776395208796,5.273463401642531,0.9814871436195775,gdas,2025-07-01-00-00,2025-07-01-00-00,3,3,2025-07-01-03-00
surface,,msl,5670,60.09091606125763,-48.90597511574074,50.861789710097,0.9905552206735088,100850.65883969907,100899.56481481482,34.9159532457537,gdas,2025-07-01-00-00,2025-07-01-00-00,6,6,2025-07-01-06-00
surface,,u10,5670,1.019519670879708,0.19119048022962384,0.7881712893569411,0.9514348516602698,-2.054146557625521,-2.245337037855145,1.0014322541141931,gdas,2025-07-01-00-00,2025-07-01-00-00,6,6,2025-07-01-06-00
surface,,v10,5670,1.066009165409466,0.15640537392026113,0.8399872694683559,0.9235163256216459,2.5203279021148433,2.3639225281945824,1.054472806546404,gdas,2025-07-01-00-00,2025-07-01-00-00,6,6,2025-07-01-06-00
surface,,t2m,5670,0.8413411495472335,0.03951464725339644,0.627478901965698,0.8991463376775706,301.24531396667373,301.20579931942035,0.8404127096694218,gdas,2025-07-01-00-00,2025-07-01-00-00,6,6,2025-07-01-06-00
surface,,wind10,5670,0.9643842646656487,-0.07539115119683494,0.7542173711751448,0.8528330310484067,4.957625251290409,5.033016402487244,0.9614328807857156,gdas,2025-07-01-00-00,2025-07-01-00-00,6,6,2025-07-01-06-00
surface,,msl,5670,50.310532169278204,35.297180197310404,39.150798473324514,0.988810776496508,100960.00566785163,100924.70848765432,35.85050511882051,gdas,2025-07-01-00-00,2025-07-01-00-00,12,12,2025-07-01-12-00
surface,,u10,5670,1.048376191234904,0.2425673004814688,0.7790153565338601,0.946135736333212,-2.5805167822817725,-2.8230840827632413,1.0199283029141495,gdas,2025-07-01-00-00,2025-07-01-00-00,12,12,2025-07-01-12-00
surface,,v10,5670,1.3192908549720757,0.03555997799838872,1.018034216688003,0.8592934661573026,1.9191499765430178,1.8835899985446292,1.3188115286035778,gdas,2025-07-01-00-00,2025-07-01-00-00,12,12,2025-07-01-12-00
surface,,t2m,5670,0.7564509707024707,-0.25944820989376655,0.5638028476183586,0.9307412610882398,300.8337307615465,301.0931789714403,0.7105664623802831,gdas,2025-07-01-00-00,2025-07-01-00-00,12,12,2025-07-01-12-00
surface,,wind10,5670,1.0890540227272327,-0.04324088897606115,0.8384226806229591,0.8221989229456796,4.829772883008935,4.873013771984995,1.0881952444019078,gdas,2025-07-01-00-00,2025-07-01-00-00,12,12,2025-07-01-12-00
surface,,msl,5670,83.73634140653508,-68.58844314925044,73.51872313161375,0.9829747147701475,100937.5156794257,101006.10412257495,48.03540713384077,gdas,2025-07-01-00-00,2025-07-01-00-00,24,24,2025-07-02-00-00
surface,,u10,5670,1.2434075180791917,-0.39650081435753926,0.9446688198831057,0.9463231491393342,-2.348286851580588,-1.9517860372230489,1.1784945312684585,gdas,2025-07-01-00-00,2025-07-01-00-00,24,24,2025-07-02-00-00
surface,,v10,5670,1.2152287926684178,-0.060542521826804634,0.9012813718887653,0.8910215020860094,1.6261464102926289,1.6866889321194334,1.2137197458973759,gdas,2025-07-01-00-00,2025-07-01-00-00,24,24,2025-07-02-00-00
surface,,t2m,5670,0.7728018282992493,-0.2343196754522845,0.5919696034157297,0.9097708151039651,300.5203088561904,300.7546285316427,0.7364217239589002,gdas,2025-07-01-00-00,2025-07-01-00-00,24,24,2025-07-02-00-00
surface,,wind10,5670,1.049107258044313,0.09637579725822418,0.8154129073243027,0.80301557592178,4.97128774720867,4.874911949950446,1.0446711179046249,gdas,2025-07-01-00-00,2025-07-01-00-00,24,24,2025-07-02-00-00
surface,,msl,5670,82.26993046665567,-59.044268766534394,67.79854704034392,0.9655356180768713,100831.26560777667,100890.30987654321,57.28975287792407,gdas,2025-07-01-00-00,2025-07-01-00-00,48,48,2025-07-03-00-00
surface,,u10,5670,1.8379023266155194,-0.3201135847265824,1.1838951334043535,0.8871019836684173,-1.172237953303359,-0.8521243685767764,1.8098100052359742,gdas,2025-07-01-00-00,2025-07-01-00-00,48,48,2025-07-03-00-00
surface,,v10,5670,2.194927340449772,-0.10675173595521395,1.5083303927008647,0.7439306872884599,1.9857230706268518,2.0924748065820657,2.1923298330142877,gdas,2025-07-01-00-00,2025-07-01-00-00,48,48,2025-07-03-00-00
surface,,t2m,5670,0.7597488431149373,-0.22539235809702932,0.5694437232177304,0.8778261048734027,300.3503258330061,300.57571819110314,0.7255457184257557,gdas,2025-07-01-00-00,2025-07-01-00-00,48,48,2025-07-03-00-00
surface,,wind10,5670,1.4087426213324317,-0.024444685547514694,1.0165659262020474,0.6977680794307108,5.068055981710058,5.092500667257573,1.4085305216810369,gdas,2025-07-01-00-00,2025-07-01-00-00,48,48,2025-07-03-00-00
surface,,msl,5670,154.33813070737293,-89.0397335207231,110.19162395282187,0.803746961837758,100679.06412450397,100768.1038580247,126.06420762771941,gdas,2025-07-01-00-00,2025-07-01-00-00,72,72,2025-07-04-00-00
surface,,u10,5670,2.763384798163961,-0.3404533936279108,1.9709757234487268,0.7151639247600726,0.29967911617216086,0.6401325098000716,2.742332406819223,gdas,2025-07-01-00-00,2025-07-01-00-00,72,72,2025-07-04-00-00
surface,,v10,5670,3.6598828814084894,-0.253785893235625,2.6874793776128656,0.3151574207662628,2.516644048308412,2.7704299415440365,3.6510731882586938,gdas,2025-07-01-00-00,2025-07-01-00-00,72,72,2025-07-04-00-00
surface,,t2m,5670,0.7550472135366355,-0.25736800367029045,0.5857810906842482,0.84540382409593,300.5350769204437,300.792444924114,0.7098295607793514,gdas,2025-07-01-00-00,2025-07-01-00-00,72,72,2025-07-04-00-00
surface,,wind10,5670,2.764751518220308,0.0503367773843109,2.0303996347455784,0.2233273310844407,5.040483481297304,4.990146703912993,2.764293248977767,gdas,2025-07-01-00-00,2025-07-01-00-00,72,72,2025-07-04-00-00
surface,,msl,5670,38.277932261148806,-22.382337136243386,30.57920662477954,0.9904335717879224,100987.1315737985,101009.51391093475,31.05207050276417,gdas,2025-07-02-00-00,2025-07-02-00-00,1,1,2025-07-02-01-00
surface,,u10,5670,1.1645141733034678,-0.1736712845791348,0.8774915886175617,0.9494314614519342,-2.2091863986922715,-2.0355151141131365,1.1514910094035873,gdas,2025-07-02-00-00,2025-07-02-00-00,1,1,2025-07-02-01-00
surface,,v10,5670,1.2144380025477206,-0.037804257532013365,0.9467188936285346,0.8911528986570026,1.677532101078271,1.7153363586102843,1.2138494553051258,gdas,2025-07-02-00-00,2025-07-02-00-00,1,1,2025-07-02-01-00
surface,,t2m,5670,1.04343901836841,0.23301639186852402,0.8107164278652723,0.863063825214234,301.04808146158854,300.81506506972,1.0170881703049177,gdas,2025-07-02-00-00,2025-07-02-00-00,1,1,2025-07-02-01-00
surface,,wind10,5670,1.1271121629163527,0.013220833093618994,0.8659876072227801,0.7696427905546818,4.94409182185892,4.930870988765301,1.127034621192397,gdas,2025-07-02-00-00,2025-07-02-00-00,1,1,2025-07-02-01-00
surface,,msl,5670,50.38202002283436,-40.17776813271605,43.53685653659612,0.9895477125145382,100954.37516396605,100994.55293209877,30.398929084015258,gdas,2025-07-02-00-00,2025-07-02-00-00,3,3,2025-07-02-03-00
surface,,u10,5670,1.0498665268248044,-0.10744661817547242,0.7669185166695603,0.9571629520470737,-2.203387613433891,-2.095940995258419,1.0443538425216963,gdas,2025-07-02-00-00,2025-07-02-00-00,3,3,2025-07-02-03-00
surface,,v10,5670,1.133230452869274,0.013589996269639627,0.8924700061053142,0.9035676235160246,1.7642204883572443,1.7506304920876048,1.1331489625427413,gdas,2025-07-02-00-00,2025-07-02-00-00,3,3,2025-07-02-03-00
surface,,t2m,5670,1.0179314329960412,0.1785682610944045,0.7831052400027213,0.8617762359136463,301.17760886809606,300.99904060700163,1.002146585291341,gdas,2025-07-02-00-00,2025-07-02-00-00,3,3,2025-07-02-03-00
surface,,wind10,5670,1.088332791166605,-0.012270863121018485,0.8053030899623629,0.7885684780858029,4.91803217035708,4.930303033478098,1.0882636124794203,gdas,2025-07-02-00-00,2025-07-02-00-00,3,3,2025-07-02-03-00
surface,,msl,5670,49.43703320395,-41.28072365520282,43.705628582451496,0.9916962133167545,100843.65197034832,100884.93269400352,27.201509268995228,gdas,2025-07-02-00-00,2025-07-02-00-00,6,6,2025-07-02-06-00
surface,,u10,5670,1.075525308036656,0.0271667269056883,0.7750875471915386,0.95337508058418,-2.211599262798208,-2.2387659897038965,1.0751821506966042,gdas,2025-07-02-00-00,2025-07-02-00-00,6,6,2025-07-02-06-00
surface,,v10,5670,1.0456519302847531,0.01993607687821359,0.7968207806657599,0.9174648415881647,1.7556675213295474,1.7357314444513339,1.0454618654675722,gdas,2025-07-02-00-00,2025-07-02-00-00,6,6,2025-07-02-06-00
surface,,t2m,5670,0.9353496150676268,0.002653858649036872,0.6863503726912134,0.8719033163965236,301.14880177600463,301.1461479173556,0.935345850175981,gdas,2025-07-02-00-00,2025-07-02-00-00,6,6,2025-07-02-06-00
surface,,wind10,5670,0.9898590858464658,-0.1006846452172974,0.7083310873062892,0.8450120102919705,4.821589899969955,4.9222745451872525,0.9847251454341297,gdas,2025-07-02-00-00,2025-07-02-00-00,6,6,2025-07-02-06-00
surface,,msl,5670,49.09267766933947,32.45547357253086,38.94890528549383,0.9850329265983422,100927.23739597113,100894.78192239859,36.83385991079964,gdas,2025-07-02-00-00,2025-07-02-00-00,12,12,2025-07-02-12-00
surface,,u10,5670,1.051652543659782,0.25336230485560457,0.781491960998053,0.9560155562674616,-2.4606306936476887,-2.713992998503293,1.0206765477193767,gdas,2025-07-02-00-00,2025-07-02-00-00,12,12,2025-07-02-12-00
surface,,v10,5670,1.1830327784448595,0.20360677235577473,0.9090730928397053,0.895322734687405,1.9913292815616417,1.787722509205867,1.16538012559243,gdas,2025-07-02-00-00,2025-07-02-00-00,12,12,2025-07-02-12-00
surface,,t2m,5670,0.8729754346488482,-0.30853685920621143,0.634531274758529,0.90705173922688,300.82687190626035,301.13540876546654,0.8166340159529922,gdas,2025-07-02-00-00,2025-07-02-00-00,12,12,2025-07-02-12-00
surface,,wind10,5670,1.0306530806505478,-0.15059204854158967,0.7870646821266172,0.8770229034696858,4.8476282928804295,4.9982203414220185,1.0195919809269354,gdas,2025-07-02-00-00,2025-07-02-00-00,12,12,2025-07-02-12-00
surface,,msl,5670,49.23077525624728,-32.9646804728836,38.6112606095679,0.9828963739275574,100857.34519607032,100890.30987654321,36.5649979304227,gdas,2025-07-02-00-00,2025-07-02-00-00,24,24,2025-07-03-00-00
surface,,u10,5670,1.670685576736,-0.4657225771695441,1.1834557296302517,0.9090340527803727,-1.3178469457463204,-0.8521243685767764,1.6044602760518127,gdas,2025-07-02-00-00,2025-07-02-00-00,24,24,2025-07-03-00-00
surface,,v10,5670,1.446609472500782,-0.2567627965359303,1.072750599045681,0.8904134628258477,1.8357120100461355,2.0924748065820657,1.4236403451167152,gdas,2025-07-02-00-00,2025-07-02-00-00,24,24,2025-07-03-00-00
surface,,t2m,5670,0.8088889989102229,-0.1413333038383901,0.5807843997154707,0.8845691924741553,300.43438488726474,300.57571819110314,0.7964460495125254,gdas,2025-07-02-00-00,2025-07-02-00-00,24,24,2025-07-03-00-00
surface,,wind10,5670,1.2636234025482016,-0.371004210747775,0.9237383125058298,0.7765116567451549,4.721496456509798,5.092500667257573,1.207932108636456,gdas,2025-07-02-00-00,2025-07-02-00-00,24,24,2025-07-03-00-00
surface,,msl,5670,78.03660786065511,-53.89957492835097,63.53499435074956,0.9625480318243352,100714.20428309635,100768.1038580247,56.43179944801282,gdas,2025-07-02-00-00,2025-07-02-00-00,48,48,2025-07-04-00-00
surface,,u10,5670,1.8801813720329668,-0.6020686379123013,1.376672455027857,0.8588261196052566,0.038063871887770384,0.6401325098000716,1.781178078402661,gdas,2025-07-02-00-00,2025-07-02-00-00,48,48,2025-07-04-00-00
surface,,v10,5670,1.8218684305679234,-0.4331416257271113,1.305965941924293,0.8302960163964076,2.3372883158169255,2.7704299415440365,1.769630727118656,gdas,2025-07-02-00-00,2025-07-02-00-00,48,48,2025-07-04-00-00
surface,,t2m,5670,0.8041396931318817,-0.28310840478860094,0.5986642262292287,0.8709057690061621,300.5093365193254,300.792444924114,0.7526554837429212,gdas,2025-07-02-00-00,2025-07-02-00-00,48,48,2025-07-04-00-00
surface,,wind10,5670,1.5624855895494996,-0.49808474589494345,1.2043521461944757,0.7495693587327801,4.492061958018049,4.990146703912993,1.4809702236900701,gdas,2025-07-02-00-00,2025-07-02-00-00,48,48,2025-07-04-00-00
surface,,msl,5670,102.4478089206353,0.6907531415343915,66.61165536816578,0.9134693565800864,100647.95753003747,100647.26677689594,102.44548019671957,gdas,2025-07-02-00-00,2025-07-02-00-00,72,72,2025-07-05-00-00
surface,,u10,5670,2.4608128227981014,0.28591412954998235,1.7280105850332446,0.7318743979820167,1.254148613918093,0.9682344843681107,2.4441466525908866,gdas,2025-07-02-00-00,2025-07-02-00-00,72,72,2025-07-05-00-00
surface,,v10,5670,2.967767025431652,-0.40997011315215515,1.8732882034217502,0.6239790574784108,3.0097235258865767,3.419693639038732,2.939313801478407,gdas,2025-07-02-00-00,2025-07-02-00-00,72,72,2025-07-05-00-00
surface,,t2m,5670,0.8425729671687117,-0.3620208605677152,0.5715109554337866,0.8383944668177232,300.6849248196503,301.04694568021796,0.7608351342553115,gdas,2025-07-02-00-00,2025-07-02-00-00,72,72,2025-07-05-00-00
surface,,wind10,5670,2.24244565756759,-0.47999967264769716,1.6219775219957735,0.6844693968335248,4.891721267765706,5.371720940413404,2.1904709177256487,gdas,2025-07-02-00-00,2025-07-02-00-00,72,72,2025-07-05-00-00
surface,,msl,5670,58.047063767978806,-38.91010113536155,50.44173004850088,0.9759537310687251,100850.7151193232,100889.62522045855,43.07511627053064,gdas,2025-07-03-00-00,2025-07-03-00-00,1,1,2025-07-03-01-00
surface,,u10,5670,1.2558397945300315,0.03218890399108698,0.9195653936962024,0.9491476997854275,-0.8574959665589442,-0.8896848705500312,1.255427203777696,gdas,2025-07-03-00-00,2025-07-03-00-00,1,1,2025-07-03-01-00
surface,,v10,5670,1.383834277103875,0.1960814930202942,1.0338070704475228,0.8992614051801149,2.429187273943051,2.233105780922757,1.3698720212423263,gdas,2025-07-03-00-00,2025-07-03-00-00,1,1,2025-07-03-01-00
surface,,t2m,5670,1.235257940921012,0.31546914506000606,0.9731963250161899,0.7751174021237692,300.93870581033156,300.6232366652716,1.1942953567369872,gdas,2025-07-03-00-00,2025-07-03-00-00,1,1,2025-07-03-01-00
surface,,wind10,5670,1.2447182788377116,0.07847535884343576,0.9263232206823904,0.7776334394311433,5.276883088947499,5.198407730104063,1.2422420101281026,gdas,2025-07-03-00-00,2025-07-03-00-00,1,1,2025-07-03-01-00
surface,,msl,5670,58.05495061675538,-46.148434055335095,49.118763089726635,0.9819289218656571,100825.1041673556,100871.25260141093,35.22356207646089,gdas,2025-07-03-00-00,2025-07-03-00-00,3,3,2025-07-03-03-00
surface,,u10,5670,1.2648163376060746,0.03818414514109072,0.9611714083321944,0.9496047362024929,-0.7386923952699956,-0.7768765404110863,1.2642398265104164,gdas,2025-07-03-00-00,2025-07-03-00-00,3,3,2025-07-03-03-00
surface,,v10,5670,1.2725427377909848,0.06901140574109617,0.9646586968706399,0.9151003434516334,2.5599423565719492,2.4909309508308533,1.2706700773144117,gdas,2025-07-03-00-00,2025-07-03-00-00,3,3,2025-07-03-03-00
surface,,t2m,5670,1.1264313982920884,0.24157571405750525,0.8826395428369915,0.7936398734756189,301.03197547603116,300.7903997619737,1.1002221909395737,gdas,2025-07-03-00-00,2025-07-03-00-00,3,3,2025-07-03-03-00
surface,,wind10,5670,1.2123873706783197,-0.01930277842568256,0.8862387689754856,0.8135694406378161,5.282753457512635,5.302056235938318,1.2122336983128865,gdas,2025-07-03-00-00,2025-07-03-00-00,3,3,2025-07-03-03-00
surface,,msl,5670,55.2530033862601,-45.49953910383598,49.03618344907407,0.9864152094227816,100719.36706142526,100764.8666005291,31.347828067356925,gdas,2025-07-03-00-00,2025-07-03-00-00,6,6,2025-07-03-06-00
surface,,u10,5670,1.3249214899235806,-0.037335774953587135,0.9832416198789626,0.9450529293458498,-0.496879746531657,-0.45954397157806987,1.3243953316022885,gdas,2025-07-03-00-00,2025-07-03-00-00,6,6,2025-07-03-06-00
surface,,v10,5670,1.2917999146687666,0.09715635698597477,0.9707536919801324,0.9084168905849583,2.6578710194604844,2.5607146624745094,1.2881411653368768,gdas,2025-07-03-00-00,2025-07-03-00-00,6,6,2025-07-03-06-00
surface,,t2m,5670,1.0372720701823681,0.025066325946249447,0.7869259358293376,0.80282206463709,301.0069390244795,300.98187269853327,1.0369691542586847,gdas,2025-07-03-00-00,2025-07-03-00-00,6,6,2025-07-03-06-00
surface,,wind10,5670,1.2884306180131504,-0.04079389134586444,0.9753717363787319,0.8112563009429158,5.1967651606445395,5.237559051990404,1.2877846543046747,gdas,2025-07-03-00-00,2025-07-03-00-00,6,6,2025-07-03-06-00
surface,,msl,5670,39.562555892301454,5.108832120811288,30.473137125220457,0.9844653234295669,100803.6602210097,100798.55138888888,39.23130972951124,gdas,2025-07-03-00-00,2025-07-03-00-00,12,12,2025-07-03-12-00
surface,,u10,5670,1.4098233502915005,0.17064300450238495,0.9965350689731105,0.9218611565477709,-0.69636017901386,-0.8670031835162451,1.3994580536913388,gdas,2025-07-03-00-00,2025-07-03-00-00,12,12,2025-07-03-12-00
surface,,v10,5670,1.4716709033700162,0.4675127478556238,1.082422485460102,0.8893636442870875,2.7024676518097546,2.2349549039541308,1.3954379521922153,gdas,2025-07-03-00-00,2025-07-03-00-00,12,12,2025-07-03-12-00
